trial_id,subject,block,trial_in_block,condition,stimulus_category,rt_ms,accuracy,confidence,pupil_baseline_mm,pupil_peak_mm,theta_power_db,alpha_power_db,n170_uv,p300_uv
1,S01,1,1,incongruent,face,663.2,1,4.7,2.6,3.03,4.66,5.8,-4.98,6.45
2,S01,1,2,incongruent,house,696.1,1,5.0,3.08,3.72,5.76,8.2,-3.29,3.33
3,S01,1,3,congruent,face,656.4,0,1.9,3.2,3.47,5.23,9.24,-6.13,8.1
4,S01,1,4,congruent,face,596.2,0,2.4,3.21,3.55,5.13,9.83,-2.98,6.32
5,S01,1,5,incongruent,house,672.3,0,3.2,3.07,3.63,7.07,11.69,-2.63,5.62
6,S01,1,6,congruent,house,594.1,1,4.1,3.18,3.47,3.79,7.51,-3.82,6.16
7,S01,1,7,congruent,face,670.0,1,4.3,3.0,3.34,5.03,10.14,-4.64,8.29
8,S01,1,8,congruent,face,620.5,1,4.3,3.46,3.83,5.31,9.33,-4.47,5.71
9,S01,1,9,congruent,house,662.2,1,4.4,3.03,3.42,4.68,11.12,-4.53,6.33
10,S01,1,10,incongruent,house,619.9,1,4.7,2.92,3.33,3.62,8.55,-0.28,6.01
11,S01,1,11,congruent,house,562.0,1,4.2,3.08,3.5,5.14,10.8,-3.39,8.06
12,S01,1,12,incongruent,house,643.5,0,3.8,3.05,3.69,5.39,10.95,-2.57,5.76
13,S01,1,13,congruent,house,589.8,0,3.2,2.71,3.12,4.52,11.38,-5.09,5.7
14,S01,1,14,congruent,face,583.0,1,4.0,3.04,3.38,5.04,8.19,-3.59,7.73
15,S01,1,15,incongruent,face,688.5,0,2.8,3.02,3.49,4.98,7.11,-5.19,5.3
16,S01,1,16,incongruent,face,677.5,1,4.7,3.28,3.8,5.24,9.26,-4.11,3.37
17,S01,1,17,congruent,face,579.7,1,3.1,3.43,3.89,4.72,9.84,-6.71,5.18
18,S01,1,18,incongruent,face,627.0,1,5.0,2.81,3.27,5.86,10.53,-5.52,5.75
19,S01,1,19,incongruent,house,668.1,1,3.2,2.99,3.48,6.27,9.49,-4.47,6.12
20,S01,1,20,incongruent,house,744.6,1,3.7,3.24,3.83,6.01,7.18,-2.16,3.95
21,S01,1,21,incongruent,house,707.3,0,2.0,3.28,3.83,5.27,10.94,-3.14,5.44
22,S01,1,22,incongruent,house,659.3,1,3.7,3.0,3.64,4.97,6.3,-1.09,8.97
23,S01,1,23,congruent,house,618.2,1,4.0,2.82,3.23,5.27,8.21,-2.0,9.67
24,S01,1,24,congruent,house,617.0,1,4.5,2.67,3.04,4.63,12.22,-2.87,9.14
25,S01,1,25,congruent,face,634.6,1,4.2,3.4,3.74,3.72,9.38,-5.2,6.32
26,S01,1,26,incongruent,face,598.4,1,4.4,2.97,3.29,6.25,8.93,-5.01,3.56
27,S01,1,27,congruent,face,727.4,1,4.4,3.06,3.48,5.34,10.9,-4.82,6.19
28,S01,1,28,congruent,face,655.8,1,3.8,2.99,3.38,4.73,10.54,-6.55,5.64
29,S01,1,29,congruent,face,576.8,1,4.0,3.38,3.72,4.18,9.33,-3.25,5.43
30,S01,1,30,congruent,face,645.3,1,4.6,3.1,3.51,4.18,9.39,-4.51,5.1
31,S01,2,1,congruent,face,604.4,1,4.0,3.38,3.56,3.85,8.29,-2.84,7.2
32,S01,2,2,incongruent,face,623.9,1,4.4,3.11,3.69,5.57,8.93,-4.14,6.49
33,S01,2,3,congruent,face,519.1,1,4.9,2.84,3.06,4.97,10.52,-2.5,7.52
34,S01,2,4,incongruent,face,635.0,1,3.9,2.85,3.54,6.95,9.96,-5.22,6.6
35,S01,2,5,incongruent,face,731.4,1,4.6,3.26,3.82,4.45,8.7,-4.86,3.61
36,S01,2,6,incongruent,house,765.0,1,4.3,3.44,3.97,5.84,7.89,-2.3,5.48
37,S01,2,7,incongruent,face,671.6,0,3.5,3.1,3.65,5.73,8.36,-5.38,5.19
38,S01,2,8,congruent,face,563.9,1,4.4,2.65,3.0,5.6,10.67,-3.27,6.85
39,S01,2,9,incongruent,face,690.7,1,5.0,3.37,3.89,4.83,8.22,-4.08,5.12
40,S01,2,10,incongruent,house,698.6,1,3.7,3.18,3.68,5.87,9.53,-3.84,4.73
41,S01,2,11,congruent,house,646.5,1,2.6,2.63,3.0,4.92,9.86,-1.49,3.06
42,S01,2,12,incongruent,house,757.5,1,3.8,2.91,3.37,5.47,10.91,-0.86,4.93
43,S01,2,13,incongruent,house,766.1,0,3.0,3.19,3.98,6.3,8.35,-1.73,4.89
44,S01,2,14,congruent,face,661.1,1,4.3,3.1,3.49,5.2,7.08,-3.63,5.43
45,S01,2,15,congruent,face,624.0,1,4.7,2.76,3.09,4.49,9.34,-4.02,5.39
46,S01,2,16,incongruent,house,690.0,1,2.7,3.1,3.61,5.63,9.17,-2.47,6.73
47,S01,2,17,incongruent,face,626.0,1,5.0,2.99,3.32,4.51,7.6,-4.86,4.83
48,S01,2,18,congruent,house,618.2,1,3.6,2.88,3.28,3.83,10.47,-2.6,6.59
49,S01,2,19,congruent,house,724.9,0,2.0,3.12,3.39,4.37,10.48,-2.14,5.93
50,S01,2,20,incongruent,house,739.3,0,2.2,3.23,3.87,4.38,8.82,-3.57,5.57
51,S01,2,21,incongruent,face,759.9,1,4.4,3.04,3.58,5.7,9.14,-3.13,7.71
52,S01,2,22,congruent,house,658.7,1,4.0,3.34,3.76,5.05,11.06,-2.21,8.48
53,S01,2,23,congruent,house,647.3,0,3.2,2.3,2.52,5.22,10.57,-3.86,5.8
54,S01,2,24,congruent,house,610.4,1,4.1,3.2,3.69,4.99,8.8,-2.81,6.75
55,S01,2,25,incongruent,face,641.8,1,4.1,3.03,3.55,5.86,9.34,-5.3,3.94
56,S01,2,26,congruent,face,601.6,1,4.4,3.22,3.45,5.06,10.28,-3.93,7.68
57,S01,2,27,congruent,face,606.6,1,4.7,3.47,3.97,5.82,9.27,-3.95,7.87
58,S01,2,28,incongruent,house,693.1,1,4.1,2.92,3.41,6.14,9.2,-2.36,6.34
59,S01,2,29,incongruent,house,704.2,1,5.0,2.97,3.37,4.97,7.97,-2.65,5.02
60,S01,2,30,congruent,house,660.1,1,4.3,3.2,3.61,3.42,9.56,-4.88,6.85
61,S01,3,1,incongruent,face,728.6,1,3.7,3.22,3.71,5.7,9.78,-4.86,6.53
62,S01,3,2,incongruent,face,632.2,1,4.6,3.13,3.59,5.1,7.95,-3.76,4.06
